bug_id,surface_name,expected_target,acquisition_bucket,required_artifacts,notes
LAB_ROUTE_001,Battle Condition Reduction,environment_param::bc.reduction.generic_pct,needs_formula_or_ladder,target-plane confirmation; lab-application-registry row; lab-track-summary row; numeric ladder or accepted package formula,"Environment plane is plausible, but there is no packaged value surface yet."
LAB_ROUTE_003,Black Hole Damage,mechanic_param::uw.black_hole.damage_pct,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_004,Black Hole Disable Ranged Enemies,capability::capability.uw.black_hole.disable_ranged,needs_policy_and_registry,target-plane policy confirmation; lab-application-registry row; boolean unlock/value rule,Binary capability surfaces need explicit package policy for when level>0 becomes enabled.
LAB_ROUTE_005,Chain Lightning Shock,mechanic_param::uw.chain_lightning.shock_enabled,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_006,Chain Thunder,mechanic_param::uw.chain_lightning.chain_count,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_007,Chrono Field Damage Reduction,mechanic_param::uw.chrono_field.damage_reduction_pct,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_008,Chrono Field Range,mechanic_param::uw.chrono_field.range_m,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_009,Chrono Field Reduction %,mechanic_param::uw.chrono_field.slow_pct,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_010,Death Wave Armor Stripping,mechanic_param::uw.death_wave.armor_stripping_pct,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_011,Death Wave Cells Bonus,mechanic_param::uw.death_wave.cells_bonus_multiplier,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
