workbook_row,lab_name,unlock_tier,ranking_primary,ranking_conditional,notes,is_unlocked_cached,player_ranking_cached,status_cached,lab_canonical_id,mapping_status,ranking_primary_order,ranking_conditional_order,evidence_type,source_workbook,source_sheet,source_version,advisory_status,authoritative_for,not_authoritative_for
3,Game Speed,T1,S+,,Makes everything better. First lab to take to max,True,Completed,Completed,LAB_GAME_SPEED,exact_catalog,0,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
4,Starting Cash,,F,,"Irrelevant, easily outdone by enemy kills and even cash/wave",True,F,F,LAB_STARTING_CASH,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
5,Workshop Attack Discount,T2,D,,"Gaining more coins is more beneficial then spending less coins, utility can be useful for ELS later on. Retroactive on respecs",True,D,D,LAB_WORKSHOP_ATTACK_DISCOUNT,exact_catalog,5,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
6,Workshop Defense Discount,,D,,,True,D,D,LAB_WORKSHOP_DEFENSE_DISCOUNT,exact_catalog,5,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
7,Workshop Utility Discount,,D,C,,True,D,C,LAB_WORKSHOP_UTILITY_DISCOUNT,exact_catalog,5,4.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
8,Labs Coin Discount,T1,D,A,"A few early levels are useful, however actual econ labs are much better until Card Masteries or assists/BC labs",True,D,A,LAB_LABS_COIN_DISCOUNT,exact_catalog,5,2.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
9,Labs Speed,,S,A,S tier until level 50; very long after. Should be slotted in whenever a lab slot is not occupied by a high priority lab,True,S,A,LAB_LABS_SPEED,exact_catalog,1,2.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
10,Buy Multiplier,T2,QOL,,"More necessary the more you respec to avoid carpal tunnel, also nice for buying large amounts of things in runs",True,Completed,Completed,LAB_BUY_MULTIPLIER,exact_catalog,8,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
11,More Round Stats,T1,QOL,,Useful data to track progress,True,Completed,Completed,LAB_MORE_ROUND_STATS,exact_catalog,8,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
12,Target Priority,T4,A,,Required for every devo strategy. Useful for blender and tournaments,True,Completed,Completed,LAB_TARGET_PRIORITY,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
