bug_id,surface_name,expected_target,lab_application_registry_present,lab_track_summary_present,lab_values_present,safe_to_bind_now,blocking_reason
LAB_ROUTE_001,Battle Condition Reduction,environment_param::bc.reduction.generic_pct,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_003,Black Hole Damage,mechanic_param::uw.black_hole.damage_pct,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_004,Black Hole Disable Ranged Enemies,capability::capability.uw.black_hole.disable_ranged,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_005,Chain Lightning Shock,mechanic_param::uw.chain_lightning.shock_enabled,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_006,Chain Thunder,mechanic_param::uw.chain_lightning.chain_count,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_007,Chrono Field Damage Reduction,mechanic_param::uw.chrono_field.damage_reduction_pct,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_008,Chrono Field Range,mechanic_param::uw.chrono_field.range_m,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_009,Chrono Field Reduction %,mechanic_param::uw.chrono_field.slow_pct,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_010,Death Wave Armor Stripping,mechanic_param::uw.death_wave.armor_stripping_pct,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_011,Death Wave Cells Bonus,mechanic_param::uw.death_wave.cells_bonus_multiplier,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_013,Death Wave Damage Amplifier,mechanic_param::uw.death_wave.damage_amplifier_multiplier,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_015,Extra Black Hole,mechanic_param::uw.black_hole.extra_black_hole_count,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_016,Golden Tower Bonus,mechanic_param::uw.golden_tower.bonus_multiplier,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_017,Golden Tower Duration,mechanic_param::uw.golden_tower.duration_seconds,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_018,Missile Amplifier,mechanic_param::uw.smart_missiles.amplifier_multiplier,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_019,Missile Despawn Time,mechanic_param::uw.smart_missiles.despawn_time_seconds,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_020,Missiles Explosion,mechanic_param::uw.smart_missiles.explosion_radius_m,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_021,Shock Chance,mechanic_param::shock.chance_pct,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_022,Shock Multiplier,mechanic_param::shock.multiplier,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_024,Spotlight Missiles,mechanic_param::uw.spotlight.missiles_enabled,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_025,Swamp Radius,mechanic_param::uw.poison_swamp.radius_multiplier,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_026,Swamp Stun,mechanic_param::uw.poison_swamp.stun_enabled,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_027,Swamp Stun Chance,mechanic_param::uw.poison_swamp.stun_chance_pct,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_028,Swamp Stun Time,mechanic_param::uw.poison_swamp.stun_duration_seconds,False,False,False,False,No packaged lab registry row and no packaged ladder/summary surface; binding now would preserve wrong level semantics.
LAB_ROUTE_035,Cash / Wave,canonical_stat::cash_per_wave,False,False,False,False,"Workshop/vault/perk cash_per_wave surfaces exist, but the lab track itself has no packaged registry row and no ladder/summary surface."
