tier,bc_name,bc_level,evidence_tier,materiality,nearest_curve_level_lower,nearest_curve_level_upper,quarantine_reason,allowed_use,source_ref
17,Tank's Ultimate,20,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
18,Ray Ultimate,20,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
18,Scatter Ultimate,20,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
18,Tank's Ultimate,35,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
18,Vampire Ultimate,20,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
19,Fast's Ultimate,20,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
19,Ray Ultimate,35,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
19,Scatter Ultimate,35,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
19,Tank's Ultimate,50,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
19,Vampire Ultimate,35,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
20,Boss Ultimate,20,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
20,Fast's Ultimate,35,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
20,Ray Ultimate,50,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
20,Scatter Ultimate,50,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
20,Tank's Ultimate,65,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
20,Vampire Ultimate,50,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
21,Basic's Ultimate,20,community_explicit_unknown_exact_value,medium,,,"Explicitly unknown to community: tier BC presence and level are known, but exact normal-tier numeric value is not known to the current community corpus or repo exact table for this row.",Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.,internalized_source_snapshot
