vault_canonical_id,input_field,input_semantics,unit,input_scope,status,why_externalized,allowed_use,prohibited_use,source_basis
VAULT__TOWER__DAMAGE__PCT,tower_damage,Resolved account-level vault contribution for tower_damage,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__ATTACK_SPEED__PCT,tower_attack_speed,Resolved account-level vault contribution for tower_attack_speed,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__CRITICAL_CHANCE__PCT,tower_crit_chance_pct,Resolved account-level vault contribution for tower_crit_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__CRITICAL_FACTOR__PCT,tower_crit_multiplier,Resolved account-level vault contribution for tower_crit_multiplier,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__DAMAGE_PER_METER__PCT,tower_damage_per_meter_multiplier,Resolved account-level vault contribution for tower_damage_per_meter_multiplier,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__MULTISHOT_CHANCE__PCT,tower_multishot_chance_pct,Resolved account-level vault contribution for tower_multishot_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__RAPID_FIRE_CHANCE__PCT,tower_rapid_fire_chance_pct,Resolved account-level vault contribution for tower_rapid_fire_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__BOUNCE_SHOT_CHANCE__PCT,tower_bounce_shot_chance_pct,Resolved account-level vault contribution for tower_bounce_shot_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__SUPER_CRIT_CHANCE__PCT,tower_supercrit_chance_pct,Resolved account-level vault contribution for tower_supercrit_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__SUPER_CRIT_MULT__PCT,tower_supercrit_multiplier,Resolved account-level vault contribution for tower_supercrit_multiplier,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__REND_ARMOR_CHANCE__PCT,tower_rend_armor_chance_pct,Resolved account-level vault contribution for tower_rend_armor_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__REND_ARMOR_MULTIPLIER__PCT,tower_rend_armor_multiplier,Resolved account-level vault contribution for tower_rend_armor_multiplier,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__HEALTH__PCT,tower_hp,Resolved account-level vault contribution for tower_hp,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__HEALTH_REGEN__PCT,tower_regen,Resolved account-level vault contribution for tower_regen,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__DEFENSE_PCT__PCT,tower_defense_pct,Resolved account-level vault contribution for tower_defense_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__DEFENSE_ABSOLUTE__PCT,tower_defense_absolute,Resolved account-level vault contribution for tower_defense_absolute,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__THORN_DAMAGE__PCT,tower_thorns_damage_pct,Resolved account-level vault contribution for tower_thorns_damage_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
