node_id,contributor_id,tree_id,effect_class,destination_object_type,destination_id,resolver,numeric_ladder_status,tier_rule,notes,source
VAULT__TOWER__BOT_RANGE__M,vault__tower__bot_range__m,power,tower_or_runtime_stat,runtime_mechanic_param,bot.global.range_bonus_m,standard_scalar_param,single_level_wiki_confirmed_no_full_numeric_ladder_needed,single_level_only,Power tree stat node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__DISCOUNT_ENHANCEMENTS__PCT,vault__tower__discount_enhancements__pct,harmony,unlock_or_account_flag,account_flag,account_flag.discount_enhancements_pct,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__DISCOUNT_REROLLS__PCT,vault__tower__discount_rerolls__pct,harmony,unlock_or_account_flag,account_flag,account_flag.discount_rerolls_pct,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__ADDITIONAL_CARD_SLOT__COUNT,vault__tower__additional_card_slot__count,harmony,unlock_or_account_flag,capability,capability.additional_card_slot.count,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__WORKSHOP_RESPEC_DISCOUNT__PCT,vault__tower__workshop_respec_discount__pct,harmony,unlock_or_account_flag,account_flag,account_flag.workshop_respec_discount_pct,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__BOT_RESPEC_DISCOUNT__PCT,vault__tower__bot_respec_discount__pct,harmony,unlock_or_account_flag,account_flag,account_flag.bot_respec_discount_pct,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__AD_GEMS_STACK__MULTIPLIER,vault__tower__ad_gems_stack__multiplier,harmony,unlock_or_account_flag,account_flag,account_flag.ad_gems_stack_multiplier,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__DAMAGE__PCT,vault__tower__damage__pct,power,tower_or_runtime_stat,canonical_stat,tower_damage,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__ULTIMATE_WEAPON_DAMAGE__PCT,vault__tower__ultimate_weapon_damage__pct,power,tower_or_runtime_stat,canonical_stat,ultimate_damage_multiplier,standard_scalar_stat,single_level_wiki_confirmed_no_full_numeric_ladder_needed,single_level_only,Power tree stat node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__ATTACK_SPEED__PCT,vault__tower__attack_speed__pct,power,tower_or_runtime_stat,canonical_stat,tower_attack_speed,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__CRITICAL_CHANCE__PCT,vault__tower__critical_chance__pct,power,tower_or_runtime_stat,canonical_stat,tower_crit_chance_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__CRITICAL_FACTOR__PCT,vault__tower__critical_factor__pct,power,tower_or_runtime_stat,canonical_stat,tower_crit_multiplier,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__DAMAGE_PER_METER__PCT,vault__tower__damage_per_meter__pct,power,tower_or_runtime_stat,canonical_stat,tower_damage_per_meter_multiplier,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__MULTISHOT_CHANCE__PCT,vault__tower__multishot_chance__pct,power,tower_or_runtime_stat,canonical_stat,tower_multishot_chance_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__RAPID_FIRE_CHANCE__PCT,vault__tower__rapid_fire_chance__pct,power,tower_or_runtime_stat,canonical_stat,tower_rapid_fire_chance_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__BOUNCE_SHOT_CHANCE__PCT,vault__tower__bounce_shot_chance__pct,power,tower_or_runtime_stat,canonical_stat,tower_bounce_shot_chance_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__SUPER_CRIT_CHANCE__PCT,vault__tower__super_crit_chance__pct,power,tower_or_runtime_stat,canonical_stat,tower_supercrit_chance_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__SUPER_CRIT_MULT__PCT,vault__tower__super_crit_mult__pct,power,tower_or_runtime_stat,canonical_stat,tower_supercrit_multiplier,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__REND_ARMOR_CHANCE__PCT,vault__tower__rend_armor_chance__pct,power,tower_or_runtime_stat,canonical_stat,tower_rend_armor_chance_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__REND_ARMOR_MULTIPLIER__PCT,vault__tower__rend_armor_multiplier__pct,power,tower_or_runtime_stat,canonical_stat,tower_rend_armor_multiplier,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__HEALTH__PCT,vault__tower__health__pct,power,tower_or_runtime_stat,canonical_stat,tower_hp,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__HEALTH_REGEN__PCT,vault__tower__health_regen__pct,power,tower_or_runtime_stat,canonical_stat,tower_regen,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__DEFENSE_PCT__PCT,vault__tower__defense_pct__pct,power,tower_or_runtime_stat,canonical_stat,tower_defense_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__DEFENSE_ABSOLUTE__PCT,vault__tower__defense_absolute__pct,power,tower_or_runtime_stat,canonical_stat,tower_defense_absolute,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__THORN_DAMAGE__PCT,vault__tower__thorn_damage__pct,power,tower_or_runtime_stat,canonical_stat,tower_thorns_damage_pct,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__KNOCKBACK_CHANCE__PCT,vault__tower__knockback_chance__pct,power,tower_or_runtime_stat,canonical_stat,tower_knockback_chance_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__KNOCKBACK_FORCE__PCT,vault__tower__knockback_force__pct,power,tower_or_runtime_stat,canonical_stat,tower_knockback_force,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__ORB_SPEED__PCT,vault__tower__orb_speed__pct,power,tower_or_runtime_stat,canonical_stat,tower_orb_speed_rpm,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__ORBS__COUNT,vault__tower__orbs__count,power,tower_or_runtime_stat,canonical_stat,tower_orb_count,integer_count_stat,single_level_wiki_confirmed_no_full_numeric_ladder_needed,single_level_only,Power tree stat node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
