verification_subject,subject_type,status,active_surface,evidence_strength,verification_gate,remaining_caveat
enemy_health_scaling,formula_area,closed,kb/enemies/tables/enemy-health-scaling-long.csv,high,publish_as_canon_only_if_structured_and_supported,Canonical long scaling and base table are both bundled.
enemy_damage_scaling,formula_area,closed,kb/enemies/tables/enemy-damage-scaling-long.csv,high,publish_as_canon_only_if_structured_and_supported,Canonical long scaling and base table are both bundled.
boss_hit_interval,formula_area,closed_user_accepted_model,kb/enemies/tables/boss-hit-interval.csv,medium,publish_as_canon_only_if_structured_and_supported,Modeled as accepted 2.0s constant for active KB use.
battle_condition_curves,formula_area,closed_with_accepted_unknown_boundary,kb/tournaments/tables/battle-condition-curves-canonical.csv,high_with_explicit_unknown_remainder,publish_as_canon_only_if_structured_and_supported,Resolved for intended scope; 17 exact normal-tier rows are accepted unknown-to-community boundaries.
battle_condition_heat_application,formula_area,closed_for_active_use,kb/tournaments/tables/tournament-heat-battle-condition-values-long.csv,high,publish_as_canon_only_if_structured_and_supported,"Heat registry, scale ladder, and expanded long table are bundled."
workshop_base_values,formula_area,closed_for_active_use,kb/workshop/tables/workshop-values.csv,high,publish_as_canon_only_if_structured_and_supported,Canonical workshop values table is present.
enhancement_values,formula_area,closed_for_active_use,kb/workshop/tables/enhancements-values.csv,high,publish_as_canon_only_if_structured_and_supported,Enhancements are the preferred canonical name and are surfaced as a dedicated table.
lab_value_ladders,formula_area,mixed_live_verified_selected_ladders_with_remaining_bundled_surfaces,kb/labs/tables/lab-track-summary.csv,mixed_live_wiki_verified_subset_plus_bundled_wiki_cache,publish_as_canon_only_if_structured_and_supported,"Wall Fortification ladder, Game Speed table, and several key lab pages are live-wiki verified; many remaining lab ladders still rely on bundled wiki-cache surfaces pending direct audit."
perk_pool_and_weights,formula_area,closed_for_active_use,kb/perks/tables/perks.csv,high_live_wiki_verified,publish_as_canon_only_if_structured_and_supported,"Published names, quantities, pool weights, and standard perk formulas are now externally verified for active perk surfaces."
card_values,formula_area,closed_for_active_use,kb/cards/tables/card-base-ladders.csv,high_live_wiki_cards_page,publish_as_canon_only_if_structured_and_supported,All 30 bundled common/rare/epic base card ladders are now surfaced; remaining caveat is lock micro-precedence only.
module_main_effects,formula_area,closed_for_material_simulator_scope_with_structured_formula_source,kb/modules/tables/module-main-effect-total-multipliers.csv,medium_high_structured_effective_paths_plus_live_wiki_structure,publish_as_canon_only_if_structured_and_supported,Main-effect ladders are promoted from bundled Effective Paths structured exports; live wiki verifies module structure but not the full numeric ladder directly.
assist_upgrade_costs,formula_area,closed,kb/modules/tables/assist-efficiency-upgrade-costs.csv,high,publish_as_canon_only_if_structured_and_supported,Assist costs and level ladders are bundled as canonical tables.
uw_purchase_and_track_ladders,formula_area,closed_for_intended_scope,kb/ultimate-weapons/tables/ultimate-weapon-purchase-costs.csv,high,publish_as_canon_only_if_structured_and_supported,"Global purchase, track, cooldown, and UW+ ladders are surfaced."
named_uw_ladders,formula_area,closed_for_material_simulator_scope,kb/ultimate-weapons/tables/uw-track-registry.csv,medium_with_descope_boundary,publish_as_canon_only_if_structured_and_supported,"Named UW track coverage is normalized for material simulator work; remaining caveat is de-scoped frame-exact micro-precedence, not missing material ladders."
bot_upgrade_ladders,formula_area,closed_for_intended_scope,kb/bots/tables/bot-upgrade-tracks-long.csv,medium_high_live_wiki_for_golden_bot_plus bundled sources for others,publish_as_canon_only_if_structured_and_supported,"All four event bot families have active ladder surfaces; Golden Bot is externally repaired and verified, while others remain supported by bundled sources sufficient for intended-scope use."
guardian_upgrade_ladders,formula_area,closed_for_active_use,kb/guardians/tables/guardian-upgrades.csv,high,publish_as_canon_only_if_structured_and_supported,"Guardian upgrades, chip baselines, and bonus scaling are surfaced."
economy_currency_flow,formula_area,closed_for_simulator_use_with_externalized_vault_inputs,kb/economy/tables/vault-node-effect-registry.csv,medium_high_live_wiki_structure_plus_internal_routing,publish_as_canon_only_if_structured_and_supported,"Vault routing, tree rules, single-level exceptions, and externalized numeric-input boundaries are surfaced."
runtime_damage_pipeline,formula_area,closed_for_material_use,kb/combat/contracts/runtime-damage-pipeline.csv,high,publish_as_canon_only_if_structured_and_supported,Material runtime ordering is closed for practical KB use; same-tick micro-precedence remains intentionally de-scoped.
effective_paths_named_formulas,formula_area,sourced_but_unsurfaced,kb/ledgers/tables/effective-paths-formula-registry.csv,medium,publish_as_canon_only_if_structured_and_supported,"Named EP formulas are now indexed in a KB ledger, but remain sourced rather than promoted to active canon because the source audit itself records blocked issues."
relic,account_state_input_family,closed_input_registry,kb/global-rules/tables/relic-input-registry.csv,medium,registry_closed_but_instance_values_external,"Frozen KB defines inputs and routing, not user/account-specific values."
player_stuff,account_state_input_family,closed_input_registry,kb/global-rules/tables/player-stuff-input-registry.csv,medium,registry_closed_but_instance_values_external,"Frozen KB defines inputs and routing, not user/account-specific values."
theme_song,account_state_input_family,closed_input_registry,kb/global-rules/tables/theme-song-input-registry.csv,medium,registry_closed_but_instance_values_external,"Frozen KB defines inputs and routing, not user/account-specific values."
unlock,account_state_input_family,closed_input_registry,kb/global-rules/tables/unlock-input-registry.csv,medium,registry_closed_but_instance_values_external,"Frozen KB defines inputs and routing, not user/account-specific values."
vault_tree_structure,formula_area,closed_for_structural_simulator_use,kb/economy/tables/vault-tier-rules.csv,high_live_wiki_summary,publish_as_summary_only_if_structured_and_supported,"Tree structure, tier rules, and single-level exceptions are externally verified; non-bundled numeric bonuses are accepted only through explicit externalized account inputs."
guardian_chip_baselines,formula_area,closed_for_active_use,multiple,high_live_wiki_verified,publish_as_canon_only_if_structured_and_supported,Guardian chip baselines are externally row-verified against live Guardian/Guardian Guide/Chips pages.
battle_condition_reduction_labs,formula_area,closed_for_active_use,multiple,high_live_wiki_verified,publish_as_canon_only_if_structured_and_supported,Generic and group 2/3/4 BC reduction labs are externally row-verified against live lab pages.
golden_bot_tracks,formula_area,closed_for_active_use,multiple,high_live_wiki_verified,publish_as_canon_only_if_structured_and_supported,Golden Bot track and lab summary are externally verified against live Golden Bot and bot lab pages.
