id,title,target_type,target_id,calculator_actual,classification,fix_class,ladder_status,target_already_exists_in_package,existing_raw_row,harness_note
LAB_ROUTE_002,Black Hole Coin Bonus,mechanic_param,uw.black_hole.coin_bonus_multiplier,unmapped,`Missing binding`,route_bind_now,exact_label,False,False,Direct lab binding via routing closure.
LAB_ROUTE_012,Death Wave Coin Bonus,mechanic_param,uw.death_wave.coin_bonus_multiplier,unmapped,`Missing binding`,route_bind_now,exact_label,False,False,Direct lab binding via routing closure.
LAB_ROUTE_023,Spotlight Coin Bonus,mechanic_param,uw.spotlight.coin_bonus_multiplier,unmapped,`Missing binding`,route_bind_now,exact_label,False,False,Direct lab binding via routing closure.
LAB_ROUTE_029,Coins / Wave,canonical_stat,coins_per_wave,unmapped,`Missing binding`,route_bind_now,alias_label,False,True,"Alias normalize to KB app-registry ""Coins/Wave"" then bind via lab application/closure."
VAULT_ALIAS_030,Cash / Wave,canonical_stat,cash_per_wave,unmapped,`Missing alias binding`,alias_only,n/a,False,True,Clean alias mismatch; KB already externalizes resolved account bonus input for cash_per_wave.
VAULT_ALIAS_031,Coins / Kill,canonical_stat,coin_kill_multiplier,unmapped,`Missing alias binding`,alias_only,n/a,False,True,Clean alias mismatch on resolved account-level vault bonus; separate from theme-song conflict.
VAULT_ALIAS_032,Coins / Wave,canonical_stat,coins_per_wave,unmapped,`Missing alias binding`,alias_only,n/a,False,True,Clean alias mismatch; KB externalized input allowed.
VAULT_ALIAS_033,Interest / Wave,canonical_stat,interest_per_wave_pct,unmapped,`Missing alias binding`,alias_only,n/a,False,True,Clean alias mismatch; KB externalized input allowed for interest_per_wave_pct.
LAB_ROUTE_014,Death Wave Health,mechanic_param,uw.death_wave.health_bonus_multiplier,canonical_stat::tower_hp,`Semantic mismatch`,semantic_retarget,missing_ladder,False,False,Direct lab binding via routing closure.
LAB_ROUTE_001,Battle Condition Reduction,environment_param,bc.reduction.generic_pct,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure; group-specific rows remain separate future seam.
LAB_ROUTE_003,Black Hole Damage,mechanic_param,uw.black_hole.damage_pct,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_004,Black Hole Disable Ranged Enemies,capability,capability.uw.black_hole.disable_ranged,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Capability binding via routing closure.
LAB_ROUTE_005,Chain Lightning Shock,capability,capability.uw.chain_lightning.shock,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Capability enable seam distinct from chance/multiplier.
