module_name,slot,trigger,target,effect_param,behavior,rule_confidence,notes
Astral Deliverance,Cannon,on_bounce_resolve,projectile,bounce_damage_per_bounce_pct,"Increase bounce range by flat 3% of total range; for each bounce of a projectile, add listed percent damage.",medium,Bounce shot range increased by 3% of total tower range.
Being Annihilator,Cannon,on_supercrit,future_attacks,guaranteed_supercrits_after_supercrit_attacks,"When a super crit event occurs, create a counter of guaranteed future super crit attacks equal to listed value.",medium,Next x attacks are guaranteed super crits after a super crit occurs.
Death Penalty,Cannon,on_enemy_spawn_then_on_first_hit,spawned_enemy,mark_for_death_spawn_chance_pct,"At enemy spawn roll listed chance; if marked, first subsequent hit destroys that enemy regardless of ordinary damage pipeline.",high,Marked enemy is destroyed by first hit.
Havoc Bringer,Cannon,on_rend_application,enemy_rend_state,rend_armor_instant_max_chance_pct,"Whenever Rend Armor is applied/updated, roll listed chance to set rend state immediately to max instead of normal progression.",medium,Proc sends Rend Armor directly to max.
Shrink Ray,Cannon,on_attack_hit,enemy_mass,enemy_mass_reduction_pct,Each attack has fixed 1% chance to apply a non-stacking mass reduction equal to listed percent.,high,1% fixed chance per attack; effect is explicitly non-stacking.
Amplifying Strike,Cannon,on_boss_or_elite_kill,tower_damage_multiplier,tower_damage_5x_duration_s,Killing a boss or elite grants 5x tower damage for listed seconds; a new valid kill refreshes timer rather than stacking multiplier.,high,Wiki note: does Impact UW damage; new boss/elite kill refreshes duration.
Anti-Cube Portal,Armor,on_shockwave_hit,enemy_damage_taken_multiplier,shockwave_damage_taken_mult_x,"When shockwave registers a hit, apply listed damage-taken multiplier to that enemy for 7s even if the enemy is immune to the shockwave movement/effect.",high,Enemies still count as hit even if immune to shockwave effects.
Negative Mass Projector,Armor,on_orb_nonkill_hit,enemy_damage_and_speed,orb_nonkill_debuff_pct_per_hit,"If an orb hits and does not kill, add listed reduction to both enemy damage and speed, stacking additively until total reduction reaches 50%.",high,Orb hit still counts for effect logic even if enemy is immune to orb effect; only if orb does not kill.
Wormhole Redirector,Armor,while_regen_applies,healing_cap,regen_heal_cap_pct_of_package_max_recovery,Extend regen heal ceiling beyond ordinary max HP up to listed percent of Package Max Recovery.,high,Allows Health Regen to heal into Package Max Recovery up to listed percent.
Space Displacer,Armor,on_landmine_spawn,landmine_instance,landmine_spawn_as_ilm_chance_pct,Each landmine spawn rolls listed chance to become an autonomous Inner Land Mine subject to 20 max; damage/stat source depends on whether ILM UW is unlocked.,high,"If ILM UW unlocked, uses player ILM stats/effects; otherwise uses level-1 x30 damage multiplier. Chance applies to normal landmine spawns."
