mechanic_area,domain,status,primary_surface,evidence_strength,closure_note
core_damage_pipeline,combat,closed_for_material_use,kb/combat/contracts/runtime-damage-pipeline.csv,high,Active runtime damage pipeline exists.
runtime_ordering,combat,closed_for_material_use,kb/combat/contracts/runtime-ordering-canonical.csv,high,Material ordering exists; same-tick nuance intentionally de-scoped.
enemy_health_scaling,enemies,closed_for_active_use,kb/enemies/tables/enemy-health-scaling-long.csv,high,Canonical long-form scaling present.
enemy_damage_scaling,enemies,closed_for_active_use,kb/enemies/tables/enemy-damage-scaling-long.csv,high,Canonical long-form scaling present.
battle_conditions,tournaments,mostly_closed,kb/tournaments/tables/tier-battle-condition-resolved-values.csv,high_with_quarantine,17 exact rows intentionally quarantined as unknown.
workshop_base_stats,workshop,closed_for_active_use,kb/workshop/tables/workshop-values.csv,high,Workshop base stats surfaced.
enhancements,workshop,closed_for_active_use,kb/workshop/tables/enhancements-values.csv,high,Enhancements surfaced.
lab_ladders,labs,closed_for_material_simulator_scope_with_external_input,kb/labs/tables/lab-application-registry.csv,medium_with_externalized_input,Bundled ladders are closed for active use; Wall Fortification is now handled through explicit account-instance simulator input instead of an invented ladder.
cards_and_masteries,cards,mostly_closed,kb/cards/tables/card-base-ladders.csv,high,Cards and masteries surfaced.
perks,perks,closed_for_material_simulator_scope,kb/perks/tables/perk-effect-registry.csv,high_from_existing_perk_surface,Perk effects are decomposed into structured rows for simulator use.
modules,modules,mostly_closed,kb/modules/tables/module-main-effect-bases.csv,high,Module ladders and substats surfaced.
ultimate_weapons_global,ultimate-weapons,mostly_closed,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,high,Global ladders surfaced.
ultimate_weapons_named,ultimate-weapons,closed_for_material_simulator_scope,kb/ultimate-weapons/tables/uw-track-registry.csv,medium_with_descope_boundary,Named UW tracks are normalized for material simulator use; remaining unresolved items are frame-exact micro-precedence fenced by the runtime proof matrix.
bots,bots,closed_for_material_simulator_scope,kb/bots/tables/bot-track-registry.csv,high_with_descope_boundary,All bot families are normalized for material simulator use; remaining unresolved items are frame-exact micro-precedence fenced by the runtime proof matrix.
guardians,guardians,closed_for_material_simulator_scope,kb/guardians/tables/guardian-track-registry.csv,high_from_bundled_surfaces,"Guardian identity, tracks, routing, and runtime proof are normalized for material simulator use."
vault_and_economy,economy,mostly_closed,kb/economy/tables/resource-entity-registry.csv,medium_to_high,"Economy identities and vault spend routing are normalized, but detailed numeric vault effect ladders remain unsurfaced."
relic_inputs,global-rules,closed_input_registry,kb/global-rules/tables/relic-input-registry.csv,medium,Input registry now surfaced; per-account values remain external inputs.
player_stuff_inputs,global-rules,closed_input_registry,kb/global-rules/tables/player-stuff-input-registry.csv,medium,Input registry now surfaced.
theme_song_inputs,global-rules,closed_input_registry,kb/global-rules/tables/theme-song-input-registry.csv,medium,Input registry now surfaced.
unlock_inputs,global-rules,closed_input_registry,kb/global-rules/tables/unlock-input-registry.csv,medium,Capability/input registry now surfaced.
ultimate_weapon_identity_and_tracks,ultimate-weapons,mostly_closed,kb/ultimate-weapons/tables/uw-entity-registry.csv,high_from_bundled_surfaces,All bundled UWs now have normalized identity and track registries.
ultimate_weapon_routing,ultimate-weapons,mostly_closed,kb/ultimate-weapons/tables/uw-contributor-routing.csv,medium_to_high,"Base, plus, cooldown, and named lab routing are surfaced where bundled evidence exists."
bot_identity_and_tracks,bots,mostly_closed,kb/bots/tables/bot-entity-registry.csv,high_from_bundled_surfaces,All four bots normalized into simulator-facing identity and track registries.
bot_runtime_channels,bots,mostly_closed,kb/bots/tables/bot-mechanic-registry.csv,medium,Material runtime channels are surfaced; exact boundary micro-precedence remains quarantined.
