rule_id,domain,statement,evidence_tier,status,primary_runtime_surface,guardrail,notes
rt_order_defpct_before_defabs,defense,Defense Percent applies before Defense Absolute,public_source,closed,stage__apply_def_pct -> stage__apply_def_abs,Do not use user_observed timing rules to infer hidden same-tick precedence.,Wiki explicitly states separate DR sources calculate after Defense Absolute
rt_order_separate_dr_after_defabs,defense,Separate DR sources including Chrono Field Damage Reduction Primordial Collapse and Flame Bot apply after Defense Absolute,public_source,closed,stage__apply_def_abs -> stage__apply_separate_dr_bundle,Do not use user_observed timing rules to infer hidden same-tick precedence.,From Defense Percent wiki page
rt_order_cfdr_after_defabs,defense,Chrono Field Damage Reduction applies after Defense Absolute,public_source,closed,stage__apply_separate_dr_bundle,Do not use user_observed timing rules to infer hidden same-tick precedence.,From Chrono Field wiki page
rt_order_wall_routes_first,contact,Wall takes contact first while alive and tower HP is only hit once wall is down,user_observed,closed,stage__route_active_layer,Do not use user_observed timing rules to infer hidden same-tick precedence.,User-observed evidence
rt_order_thorns_after_hp_loss,contact,Thorns damage occurs after wall or tower HP loss,user_observed,closed,stage__apply_damage -> stage__evaluate_contact_effects,Do not use user_observed timing rules to infer hidden same-tick precedence.,User-observed evidence
rt_order_contact_and_thorns_same_event,contact,A single contact can both damage wall/tower and kill enemy with thorns,user_observed,closed,stage__apply_damage -> stage__evaluate_contact_effects,Do not use user_observed timing rules to infer hidden same-tick precedence.,User-observed evidence
rt_order_saboteur_blocked_by_wall,debuff,Saboteur is blocked by wall,user_observed,closed,contact/wall routing surface,Do not use user_observed timing rules to infer hidden same-tick precedence.,User-observed evidence
rt_order_wall_rebuild_pushes_out,wall,Wall rebuild pushes enemies outside wall range,user_observed,closed,wall rebuild runtime surface,Do not use user_observed timing rules to infer hidden same-tick precedence.,User-observed evidence
rt_order_gapless_when_cd_eq_duration,timing,"For exact-second cooldown duration mechanics observed in play, cooldown equals duration behaves as gapless rather than fractional",user_observed,closed,timing observation only,Do not use user_observed timing rules to infer hidden same-tick precedence.,User-observed evidence with exact-second framing; do not generalize to hidden same-tick precedence
rt_order_attack_speed_continuous,timing,"Attack Speed behaves continuously in play, with displayed values not always reflecting exact runtime behavior",user_observed,closed,timing observation only,Do not use user_observed timing rules to infer hidden same-tick precedence.,User-observed evidence; keep Effective Paths approximations and display values distinct from exact runtime precedence
rt_order_game_speed_global,timing,"Game speed affects the whole game, with displayed numbers not always reflecting exact runtime behavior.",user_observed,closed,timing observation only,Do not treat display values as exact runtime timing semantics.,User-observed evidence; keep displayed values distinct from exact runtime timing semantics.
