surface_id,path,domain,primary_or_derived,status,trust_tier,retrieval_priority,safe_for_first_pass,surface_role,authority_source,notes
root.start_here,START_HERE_FOR_AI.md,root,primary,canonical,1.0,1.0,yes,ai_entry,control_plane_authority,Primary AI entry surface; current rules only.
root.manifest,manifest.json,root,primary,canonical,1.0,2.0,yes,package_manifest,control_plane_authority,Single release-identity and completeness truth surface.
root.chatgpt_profile,CHATGPT_KB_PROFILE.yaml,root,primary,canonical,1.0,2.0,yes,chatgpt_profile,control_plane_authority,Machine-readable ChatGPT loading and boundary profile.
root.readme,readme.md,root,primary,canonical,1.0,3.0,yes,human_readme,control_plane_authority,Concise package overview for human and AI operators.
root.kb_index,kb/index.md,root,primary,canonical,1.0,4.0,yes,kb_index,control_plane_authority,Primary internal index.
root.retrieval_policy,RETRIEVAL_POLICY.yaml,root,primary,canonical,1.0,5.0,yes,retrieval_governance,control_plane_authority,Machine-readable retrieval constitution.
root.execution_order,SURFACE_EXECUTION_ORDER.yaml,root,primary,canonical,1.0,6.0,yes,execution_order,control_plane_authority,Mandatory cross-surface execution order.
root.unknowns_policy,UNKNOWNS_OPERATING_POLICY.csv,root,primary,canonical,1.0,7.0,yes,unknowns_policy,control_plane_authority,Operational unknown handling rules.
root.task_entrypoints,TASK_ENTRYPOINTS.yaml,root,primary,canonical,1.0,8.0,yes,task_router,control_plane_authority,Task routing surface.
root.priority_registry,SURFACE_PRIORITY_REGISTRY.csv,root,derived,generated_control_plane,1.0,9.0,yes,surface_ranking,MASTER_SURFACE_TRUST_LEDGER.csv,Generated from master surface trust ledger.
root.status_tags,SURFACE_STATUS_TAGS.csv,root,derived,generated_control_plane,1.0,10.0,yes,surface_status,MASTER_SURFACE_TRUST_LEDGER.csv,Generated from master surface trust ledger.
root.master_trust_ledger,MASTER_SURFACE_TRUST_LEDGER.csv,root,primary,canonical,1.0,11.0,yes,control_plane_authority,self,Authoritative control-plane path/status/trust ledger.
root.target_standard,KB_TARGET_STANDARD.md,root,primary,canonical,1.0,13.0,yes,target_standard,control_plane_authority,Current target standard and scope limits.
root.verification_status,VERIFICATION_COMPLETENESS_STATUS.md,root,primary,canonical,1.0,14.0,yes,verification_status,control_plane_authority,Current verification counts by trust class.
ledger.core_status,kb/ledgers/notes/core-kb-status.md,ledgers,primary,canonical,1.0,20.0,yes,package_status,control_plane_authority,Current package verdict and trust posture.
ledger.completeness,kb/ledgers/tables/core-kb-completeness.csv,ledgers,primary,resolved_derived,1.0,21.0,yes,closure_status,control_plane_authority,Primary completeness surface.
ledger.domain_completeness,kb/ledgers/tables/domain-completeness-ledger.csv,ledgers,primary,canonical,1.0,22.0,yes,domain_completeness,control_plane_authority,Domain closure ledger.
ledger.formula_coverage,kb/ledgers/tables/formula-coverage-ledger.csv,ledgers,primary,canonical,1.0,23.0,yes,formula_coverage,control_plane_authority,Formula coverage ledger.
ledger.explicit_unknowns,kb/ledgers/tables/scope-boundary-registry.csv,ledgers,primary,scope_boundary_registry,1.0,24.0,yes,scope_boundaries,control_plane_authority,"Simulator-scope boundary registry: out-of-scope timing edges, accepted boundaries, and resolved canonical choices."
ledger.sim_mechanic,kb/ledgers/tables/simulator-mechanic-coverage-ledger.csv,ledgers,primary,canonical,1.0,25.0,yes,simulator_coverage,control_plane_authority,Simulator-mechanic coverage ledger.
