formula_area,domain,status,canonical_surface,supporting_surfaces,evidence_strength,note,authority_classification,authority_reason_code
enemy_health_scaling,enemies,closed,kb/enemies/tables/enemy-health-scaling-long.csv,kb/enemies/tables/enemy-health-table.csv | kb/enemies/sources/raw/repo-inputs/combat/enemy-health-table.csv,high,Canonical long scaling and base table are both bundled.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
enemy_damage_scaling,enemies,closed,kb/enemies/tables/enemy-damage-scaling-long.csv,kb/enemies/tables/enemy-damage-table.csv | kb/enemies/sources/raw/repo-inputs/combat/enemy-damage-table.csv,high,Canonical long scaling and base table are both bundled.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
boss_hit_interval,enemies/combat,closed_user_accepted_model,kb/enemies/tables/boss-hit-interval.csv,kb/ledgers/tables/core-kb-completeness.csv | kb/combat/sources/runtime-ordering-evidence.md,medium,Modeled as accepted 2.0s constant for active KB use.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
battle_condition_curves,tournaments,closed_with_accepted_unknown_boundary,kb/tournaments/tables/battle-condition-curves-canonical.csv,kb/tournaments/tables/tier-battle-condition-resolved-values.csv | kb/tournaments/tables/tier-battle-condition-accepted-unknown-boundary.csv,high_with_explicit_unknown_remainder,Resolved for intended scope; 17 exact normal-tier rows are explicitly accepted unknown-to-community boundaries.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
battle_condition_heat_application,tournaments,closed_for_active_use,kb/tournaments/tables/tournament-heat-battle-condition-values-long.csv,kb/tournaments/tables/heat-scale-long.csv | kb/tournaments/tables/heat-battle-condition-registry.csv,high,"Heat registry, scale ladder, and expanded long table are bundled.",canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
workshop_base_values,workshop,closed_for_active_use,kb/workshop/tables/workshop-values.csv,kb/global-rules/contracts/contributor-mappings-full.yaml,high,Canonical workshop values table is present.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
enhancement_values,workshop,closed_for_active_use,kb/workshop/tables/enhancements-values.csv,kb/global-rules/contracts/contributor-mappings-full.yaml,high,Enhancements are the preferred canonical name and are surfaced as a dedicated table.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
lab_value_ladders,labs,closed_for_intended_scope,kb/labs/tables/lab-values.csv,kb/labs/tables/lab-track-summary.csv | kb/labs/tables/lab-application-registry.csv | kb/labs/tables/lab-simulator-boundary-registry.csv,medium,Active lab ladders and registries are sufficient for the intended scope; accepted exactness boundaries do not block package use, and Wall Fortification unlock is resolved in-package.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
perk_pool_and_weights,perks,closed_for_active_use,kb/perks/tables/perks.csv,kb/perks/tables/perk-pool-weights.csv,high,Perk pool and selection weights are both surfaced.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
card_values,cards,closed_for_intended_scope,kb/cards/tables/card-base-ladders.csv,kb/cards/tables/card-masteries.csv | kb/cards/tables/wiki-card-slots-and-costs.csv,high,"Base card values, card masteries, and slot costs are surfaced; remaining card-side edge is explicitly out of scope tick precedence.",canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
module_main_effects,modules,closed_with_package_canon,kb/modules/tables/module-main-effect-bases.csv,kb/modules/tables/module-main-effect-bands.csv | kb/modules/tables/module-substats.csv | kb/modules/tables/module-unique-effects.csv,high,"Main effects, bands, substats, and unique effects are surfaced; EP-backed total multipliers are accepted package canon for the intended scope.",canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
assist_upgrade_costs,modules,closed,kb/modules/tables/assist-efficiency-upgrade-costs.csv,kb/modules/tables/assist-stone-levels.csv | kb/modules/tables/assist-slot-unlock-costs.csv | kb/modules/tables/assist-unique-rarity-upgrade-costs.csv,high,Assist costs and level ladders are bundled as canonical tables.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
uw_purchase_and_track_ladders,ultimate-weapons,closed_for_intended_scope,kb/ultimate-weapons/tables/ultimate-weapon-purchase-costs.csv,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv | kb/ultimate-weapons/tables/ultimate-weapon-cooldown-step-costs.csv | kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv,high,"Global purchase, track, cooldown, and UW+ ladders are surfaced for intended-scope use.",canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
named_uw_ladders,ultimate-weapons,partial_structured,kb/ultimate-weapons/tables/black-hole-basic-upgrades.csv,kb/ultimate-weapons/tables/golden-tower-basic-upgrades.csv | kb/ultimate-weapons/tables/death-wave-basic-upgrades.csv | kb/ultimate-weapons/tables/spotlight-basic-upgrades-extended.csv,medium,"Several named UWs are strongly surfaced, but named per-UW ladder coverage is uneven across the full UW roster.",canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
bot_upgrade_ladders,bots,closed_for_intended_scope,kb/bots/tables/bot-upgrade-tracks-long.csv,kb/bots/tables/bot-labs-summary.yaml | kb/bots/contracts/bot-track-normalization-contract.md,high,All four event bot families have normalized active ladder surfaces; remaining exact micro-precedence is intentionally out of scope.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
guardian_upgrade_ladders,guardians,closed_for_active_use,kb/guardians/tables/guardian-upgrades.csv,kb/guardians/tables/guardian-chip-baselines.csv | kb/guardians/tables/wiki-guardian-bonus-scaling.csv,high,"Guardian upgrades, chip baselines, and bonus scaling are surfaced.",canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
economy_currency_flow,economy,partial_structured,kb/economy/tables/currency-summary.csv,kb/economy/tables/economy-resource-flows.csv | kb/economy/tables/vault-overview.csv,medium,"Resource flow and vault overview exist, but economy remains more summary-oriented than fully normalized.",canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
runtime_damage_pipeline,combat,closed_for_material_use,kb/combat/contracts/runtime-damage-pipeline.csv,kb/combat/contracts/runtime-ordering-canonical.csv | kb/combat/contracts/towersim-mechanics-runtime-corrected.md,high,Material runtime ordering is closed for practical KB use; same-tick micro-precedence remains intentionally de-scoped.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
effective_paths_named_formulas,cross_domain,intentionally_exempted,kb/ledgers/tables/effective-paths-formula-registry.csv,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,medium,Named EP formulas remain intentionally de-scoped from active canon pending source-audit closure and explicit promotion approvals.,intentionally_de_scoped,ep_source_audit_blocked
ultimate_weapon_track_ladders,ultimate-weapons,closed_for_intended_scope,kb/ultimate-weapons/tables/uw-track-registry.csv,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv | kb/ultimate-weapons/tables/ultimate-weapon-plus-ladders.csv | kb/ultimate-weapons/tables/ultimate-weapon-cooldown-step-costs.csv,high_from_bundled_surfaces,Bundled ladders are normalized into per-UW entity and track registries for intended-scope use.,canonical_in_non_formula_table_by_design,non_formula_table_is_canonical_design
