mechanic_area,domain,status,primary_surface,evidence_strength,closure_note
core_damage_pipeline,combat,closed_for_material_use,kb/combat/contracts/runtime-damage-pipeline.csv,high,Active runtime damage pipeline exists.
runtime_ordering,combat,closed_for_material_use,kb/combat/contracts/runtime-ordering-canonical.csv,high,Material ordering exists; same-tick nuance intentionally de-scoped.
enemy_health_scaling,enemies,closed_for_active_use,kb/enemies/tables/enemy-health-scaling-long.csv,high,Canonical long-form scaling present.
enemy_damage_scaling,enemies,closed_for_active_use,kb/enemies/tables/enemy-damage-scaling-long.csv,high,Canonical long-form scaling present.
battle_conditions,tournaments,closed_with_accepted_unknown_boundary,kb/tournaments/tables/tier-battle-condition-resolved-values.csv,high_with_quarantine,17 exact rows are accepted unknown-to-community boundaries.
workshop_base_stats,workshop,closed_for_active_use,kb/workshop/tables/workshop-values.csv,high,Workshop base stats surfaced.
enhancements,workshop,closed_for_active_use,kb/workshop/tables/enhancements-values.csv,high,Enhancements surfaced.
lab_ladders,labs,closed_for_material_simulator_scope_with_external_input,kb/labs/tables/lab-application-registry.csv,medium_with_externalized_input,Bundled ladders are closed for active use; Wall Fortification is now handled through explicit account-instance simulator input instead of an invented ladder.
cards_and_masteries,cards,closed_for_material_simulator_scope,kb/cards/tables/card-base-ladders.csv,high,All bundled base card ladders and mastery ladders are surfaced; remaining card-side edge is lock micro-precedence only, and it is intentionally out of scope.
perks,perks,closed_for_material_simulator_scope,kb/perks/tables/perk-effect-registry.csv,high_from_existing_perk_surface,Perk effects are decomposed into structured rows for simulator use.
modules,modules,closed_for_material_simulator_scope,kb/modules/tables/module-main-effect-total-multipliers.csv,medium_high_structured_effective_paths_plus_live_wiki_structure,"Main-effect totals, bases, bands, substats, and uniques are surfaced for simulator use; numeric main ladders come from bundled Effective Paths exports."
ultimate_weapons_global,ultimate-weapons,closed_for_intended_scope,kb/ultimate-weapons/tables/ultimate-weapon-track-ladders.csv,high,Global ladders surfaced for intended-scope use.
ultimate_weapons_named,ultimate-weapons,closed_for_material_simulator_scope,kb/ultimate-weapons/tables/uw-track-registry.csv,medium_with_descope_boundary,Named UW tracks are normalized for material simulator use; remaining exact-tick edges are frame-exact micro-precedence boundaries fenced by the runtime proof matrix.
bots,bots,closed_for_material_simulator_scope,kb/bots/tables/bot-track-registry.csv,high_with_descope_boundary,All bot families are normalized for material simulator use; remaining exact-tick edges are frame-exact micro-precedence boundaries fenced by the runtime proof matrix.
guardians,guardians,closed_for_material_simulator_scope,kb/guardians/tables/guardian-track-registry.csv,high_from_bundled_surfaces,"Guardian identity, tracks, routing, and runtime proof are normalized for material simulator use."
vault_and_economy,economy,closed_for_simulator_use_with_externalized_vault_inputs,kb/economy/tables/vault-node-effect-registry.csv,medium_to_high,"Vault identities, routing, tier rules, and single-level exceptions are normalized; numeric vault bonuses without bundled ladders are handled through explicit externalized account inputs."
relic_inputs,global-rules,closed_input_registry,kb/global-rules/tables/relic-input-registry.csv,medium,Input registry now surfaced; per-account values remain external inputs.
player_stuff_inputs,global-rules,closed_input_registry,kb/global-rules/tables/player-stuff-input-registry.csv,medium,Input registry now surfaced.
theme_song_inputs,global-rules,closed_input_registry,kb/global-rules/tables/theme-song-input-registry.csv,medium,Input registry now surfaced.
unlock_inputs,global-rules,closed_input_registry,kb/global-rules/tables/unlock-input-registry.csv,medium,Capability/input registry now surfaced.
ultimate_weapon_identity_and_tracks,ultimate-weapons,closed_for_intended_scope,kb/ultimate-weapons/tables/uw-entity-registry.csv,high_from_bundled_surfaces,All bundled UWs have normalized identity and track registries.
ultimate_weapon_routing,ultimate-weapons,closed_for_intended_scope,kb/ultimate-weapons/tables/uw-contributor-routing.csv,medium_to_high,"Base, plus, cooldown, and named lab routing are surfaced where bundled evidence exists."
bot_identity_and_tracks,bots,closed_for_intended_scope,kb/bots/tables/bot-entity-registry.csv,high_from_bundled_surfaces,All four bots normalized into simulator-facing identity and track registries.
bot_runtime_channels,bots,closed_for_intended_scope,kb/bots/tables/bot-mechanic-registry.csv,medium,Material runtime channels are surfaced; exact boundary micro-precedence remains intentionally out of scope.
