section,name,implementation_status,calculator_evidence,classification_note
eEcon_mechanics,EPC_BHCB,calculator_destination_defined_not_emitted,statbook destination definition: uw.black_hole.coin_bonus_multiplier,"Calculator has a destination definition for Black Hole coin bonus multiplier, but no current emitted publishable row on this baseline."
eEcon_mechanics,EPC_CARD_COINS,retained_helper_formula,card coin multiplier helper,Economy helper for card coin multiplier; useful for optimizer/strategy/helper outputs even without a standalone canonical row.
eEcon_mechanics,EPC_CARD_EOM,retained_helper_formula,enemy-balance/end-of-match card helper,"Economy helper formula; useful for helper/strategy layer, not required as current canonical output."
eEcon_mechanics,EPC_CARD_WS,retained_helper_formula,wave-skip card helper around runtime skip behavior,Wave-skip helper/aggregate formula; keep as helper even though only wave skip chance is currently surfaced.
eEcon_mechanics,EPC_DWCB,calculator_destination_defined_not_emitted,statbook destination definition: uw.death_wave.coin_bonus_multiplier,"Calculator has a destination definition for Death Wave coin bonus multiplier, but no current emitted publishable row on this baseline."
eEcon_mechanics,EPC_GCOMP,retained_helper_formula,galaxy compressor package-time helper,"Generator-helper formula for package timing/compression effects; useful for optimizer/helper layer, not current canonical output."
eEcon_mechanics,EPC_GTGC,retained_helper_formula,related surface present: mechanic_param::uw_plus.golden_tower.golden_combo,Golden Combo economy helper built from GT duration and kill rate; retain as helper rather than a canonical stat.
eEcon_mechanics,EPC_MVN,retained_helper_formula,related cooldown surfaces present; MVN folding not separately surfaced,Multiverse Nexus helper for cooldown folding/sync calculations; useful for optimizer/helper layer.
eEcon_mechanics,EPC_SLCB,calculator_destination_defined_not_emitted,statbook destination definition: uw.spotlight.coin_bonus_multiplier,"Calculator has a destination definition for Spotlight coin bonus multiplier, but no current emitted publishable row on this baseline."
eDamage_mechanics,EPD_AOE_CARD_BOOST,retained_helper_formula,card-derived AoE boost helper only,Card-derived helper multiplier; useful for helper/strategy layer rather than core canonical output.
eDamage_mechanics,EPD_RANGEDPM,retained_helper_formula,canonical_stat::tower_range_m + canonical_stat::tower_damage_per_meter_multiplier,Derived helper from range and DPM inputs; useful for optimizer/strategy but not a required standalone canonical output.
eDamage_mechanics,EPD_SUPERTOWER_BONUS,retained_helper_formula,super tower card/lab effect helper,Super Tower helper formula; retain for helper plane/optimizer use rather than forcing a canonical stat surface.
eDamage_mechanics,EPD_SUPERTOWER_COOLDOWN,retained_helper_formula,super tower cooldown helper,Super Tower cooldown helper; retain for helper plane/optimizer use rather than forcing a canonical stat surface.
eDamage_mechanics,EPD_UWCRITICAL,retained_helper_formula,related crit inputs present; no standalone uw crit surface,Derived helper for ultimate-weapon crit modeling; useful for damage modeling but not a current standalone canonical output.
eHP_mechanics,EPH_ARMOR,retained_helper_formula,armor module factor already used in survivability compare work,"Armor-assist/helper factor, not a standalone canonical stat surface; retain for compare/helper modeling."
