section,ep_name,helper_class,current_evidence,proposed_output_plane,proposed_emit_phase,proposed_output_status,notes
eDamage_mechanics,BULLET_PER_SECOND,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EPD_AOE_CARD_BOOST,retained_helper_formula,card-derived AoE boost helper only,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Card-derived helper multiplier; useful for helper/strategy layer rather than core canonical output.
eDamage_mechanics,EPD_BOUNCESHOT,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EPD_MULTISHOT,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EPD_RANGEDPM,retained_helper_formula,canonical_stat::tower_range_m + canonical_stat::tower_damage_per_meter_multiplier,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Derived helper from range and DPM inputs; useful for optimizer/strategy but not a required standalone canonical output.
eDamage_mechanics,EPD_RAPIDFIRE,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EPD_SHOCKWAVE_DAMAGE,retained_helper_formula,helper derived from ACP + shockwave size/frequency surfaces; no standalone canonical output currently emitted,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,"EP helper formula estimating Anti-Cube Portal shockwave vulnerability cadence effect from ACP tier plus shockwave size/frequency inputs. Useful for optimisation/strategy/helper outputs, but not a required standalone canonical stat."
eDamage_mechanics,EPD_SPB,retained_helper_formula,perk helper: standard perk bonus scaling used across perk composition; not a standalone emitted surface,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,"EP helper formula for standard perk bonus application to perk-affected damage-style multipliers. Useful and should be retained as helper knowledge, but not required as a standalone canonical output."
eDamage_mechanics,EPD_SUPERTOWER_BONUS,retained_helper_formula,super tower card/lab effect helper,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Super Tower helper formula; retain for helper plane/optimizer use rather than forcing a canonical stat surface.
eDamage_mechanics,EPD_SUPERTOWER_COOLDOWN,retained_helper_formula,super tower cooldown helper,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Super Tower cooldown helper; retain for helper plane/optimizer use rather than forcing a canonical stat surface.
eDamage_mechanics,EPD_SUPERTOWER_EFFECTIVE_BONUS,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EPD_SUPERTOWER_EFFECTIVE_UWBONUS,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EPD_UWCRITICAL,retained_helper_formula,related crit inputs present; no standalone uw crit surface,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Derived helper for ultimate-weapon crit modeling; useful for damage modeling but not a current standalone canonical output.
eDamage_mechanics,EPG_ASSIST_SUB_CAP,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EP_CL_DPS,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EP_DW_DPS,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EP_SLM_DPS,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EP_SL_FINAL_BONUS,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EP_SM_DPS,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EP_UW_SL_COVERAGE,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,EP_UW_TOTAL_DAMAGE,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eEcon_mechanics,EPC_CARD_COINS,retained_helper_formula,card coin multiplier helper,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Economy helper for card coin multiplier; useful for optimizer/strategy/helper outputs even without a standalone canonical row.
eEcon_mechanics,EPC_CARD_EOM,retained_helper_formula,enemy-balance/end-of-match card helper,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,"Economy helper formula; useful for helper/strategy layer, not required as current canonical output."
eEcon_mechanics,EPC_CARD_WS,retained_helper_formula,wave-skip card helper around runtime skip behavior,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Wave-skip helper/aggregate formula; keep as helper even though only wave skip chance is currently surfaced.
eEcon_mechanics,EPC_GCOMP,retained_helper_formula,galaxy compressor package-time helper,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,"Generator-helper formula for package timing/compression effects; useful for optimizer/helper layer, not current canonical output."
eEcon_mechanics,EPC_GTGC,retained_helper_formula,related surface present: mechanic_param::uw_plus.golden_tower.golden_combo,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Golden Combo economy helper built from GT duration and kill rate; retain as helper rather than a canonical stat.
eEcon_mechanics,EPC_MVN,retained_helper_formula,related cooldown surfaces present; MVN folding not separately surfaced,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Multiverse Nexus helper for cooldown folding/sync calculations; useful for optimizer/helper layer.
eEcon_mechanics,EPC_SYNC,retained_helper_formula,,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eHP_mechanics,EPH_ARMOR,retained_helper_formula,armor module factor already used in survivability compare work,helper_optimizer,later_complex_mechanics_or_helper_plane,retain_not_yet_emitted,"Armor-assist/helper factor, not a standalone canonical stat surface; retain for compare/helper modeling."
eEcon_mechanics,EPC_BHCB,defined_not_emitted_econ_row,statbook destination definition: uw.black_hole.coin_bonus_multiplier,helper_optimizer,near_term_emit_candidate,should_emit,"Calculator has a destination definition for Black Hole coin bonus multiplier, but no current emitted publishable row on this baseline."
eEcon_mechanics,EPC_DWCB,defined_not_emitted_econ_row,statbook destination definition: uw.death_wave.coin_bonus_multiplier,helper_optimizer,near_term_emit_candidate,should_emit,"Calculator has a destination definition for Death Wave coin bonus multiplier, but no current emitted publishable row on this baseline."
eEcon_mechanics,EPC_SLCB,defined_not_emitted_econ_row,statbook destination definition: uw.spotlight.coin_bonus_multiplier,helper_optimizer,near_term_emit_candidate,should_emit,"Calculator has a destination definition for Spotlight coin bonus multiplier, but no current emitted publishable row on this baseline."
