domain,tables,contracts,sources,status,coverage_summary,remaining_gap
workshop,3,1,2,closed_for_active_use,Workshop base values and enhancements are both surfaced as active canonical tables.,No major active-use defect identified from package scan.
labs,9,3,2,closed_for_scope,"Core lab ladders, routing, source registries, resolved boundary registry, and Wall Fortification active ladder are surfaced.",No material lab blocker remains for the intended simulator scope; Wall Fortification unlock is resolved as Tier 14 Wave 60.
cards,9,2,2,closed_for_intended_scope,"Card identities, effect rows, contributor routing, slot costs, mastery ladders, and externally verified base ladders are surfaced.",Base card ladders are externally verified; remaining card-side edge is intentionally out-of-scope tick precedence rather than an open blocker.
perks,5,2,2,closed_for_active_use,"Perk identities, pool weights, names, quantities, and decomposed effect rows are externally verified and surfaced for simulator use.",No major active-use defect found in the perk core surfaces after verification; some downstream interpretations still depend on consumer discipline.
modules,11,3,4,closed_with_package_canon,"Main effects, bands, substats, unique effects, assist costs, and package-canon module totals are surfaced.",Cross-stat usage still requires consumer discipline; EP-backed total multipliers are accepted package canon for the intended scope.
ultimate-weapons,25,3,4,closed_for_material_simulator_scope,"Global UW ladders are supplemented by normalized entity, track, contributor-routing, runtime-boundary, and runtime-proof surfaces.",Only frame-exact micro-precedence remains de-scoped outside material simulator scope.
bots,10,2,2,closed_for_material_simulator_scope,"All four bot families now have normalized entity, track, mechanic, contributor-routing, source, runtime-boundary, and runtime-proof surfaces.",Only frame-exact micro-precedence remains de-scoped outside material simulator scope.
guardians,11,2,2,closed_for_material_simulator_scope,"Guardian types, normalized identity, tracks, contributor routing, runtime proof, upgrades, attack levels, bonus scaling, and chip baselines are surfaced.",Only frame-exact activation tie-break nuance remains de-scoped outside material simulator scope.
enemies,14,1,4,closed_for_active_use,"Enemy damage, health, types, spawns, boss/fleet properties, and skip references are surfaced.",No major active-use defect identified from package scan.
tournaments,23,1,3,closed_with_accepted_unknown_boundary,"Battle conditions, heat, league rules, wave structure, and resolved BC values are strongly surfaced for intended-scope use.","17 exact normal-tier BC rows are accepted unknown-to-community boundaries, not open blockers."
combat,2,7,3,closed_for_material_use,Runtime ordering and damage pipeline are bundled in canonical contracts with supporting evidence.,Same-tick and expiry micro-precedence remain intentionally de-scoped.
economy,9,2,2,closed_for_simulator_use_with_externalized_vault_inputs,"Currency identity, flows, verified vault tree summary, spend-path routing, node-effect ownership boundary, and explicit externalized-input surfaces are surfaced.",Non-bundled numeric vault bonuses must be supplied only through the explicit externalized-input surface and must not be inferred.
global-rules,7,13,9,closed_for_active_use,"Naming, alias, routing, and contributor contracts are heavily surfaced.",No major package-level defect identified from scan.
ledgers,11,6,1,active_status_surface,"Package-wide ledgers, scope boundary registry, routing closure, and now completeness/formula audits are surfaced.",Ledgers describe package state; they do not themselves supply missing game values.
relic_source_family,1,0,0,closed_input_registry,Contributor routing plus active relic input registry are surfaced.,Per-account relic instance values are external inputs and no full per-relic catalog is yet surfaced.
player_stuff_source_family,1,0,0,closed_input_registry,Contributor routing plus active player/account input registry are surfaced.,Registry is closed; values remain account-instance inputs.
theme_song_source_family,1,0,0,closed_input_registry,Theme/song routing plus active input registry are surfaced.,Registry is closed; actual cosmetic ownership values remain account-instance inputs.
unlock_source_family,1,0,0,closed_input_registry,Unlock routing plus active capability/input registry are surfaced.,Registry is closed; actual account unlock state remains instance-specific.
