formula_id,formula_name,formula_cluster,formula_domain,formula_type,source_surface,status,known_issue_flag,issue_note,excel_definition_excerpt,notes,authority_classification,authority_reason_code
ep_lambda_bullet_per_second,BULLET_PER_SECOND,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(attack_speed, ((0.01413 * attack_speed^2) + (4.01278 * attack_speed) + 92.8885)*1.3)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_aspd,EPD_ASPD,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, wsp_level, lab_level, has_card, card_level, substat, relic, vault, has_mastery, mastery_level, LET(   WS, 1 + 0.05 * ws_level,   WSPlus, 1 + 0.01 * wsp_level,   Lab, 1 + 0.02 * lab_level,   CardASPD, IF(has_card, (1.1 + car",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_bounceshot,EPD_BOUNCESHOT,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(bsc, bst, astral_delivrance, (1 + SUM(ARRAYFORMULA(BSC^(SEQUENCE(BST)) * (1+Astral_Delivrance)^SEQUENCE(BST)))))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_bsc,EPD_BSC,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, substat, vault, LET(   WS, ws_level * 0.8%,   VaultBonus, 1 + vault,  (WS + Substat) * VaultBonus))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_bst,EPD_BST,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,yes,Defined name text references vault without lambda parameter; fail closed or patch only with explicit evidence.,"LAMBDA(ws_level, perk, substat, LET(   WS, 1 + ws_level,   VaultBonus, 1 + vault,  WS + Perk + FLOOR(Substat)))",From workbook defined name.,intentionally_de_scoped,ep_known_definition_defect
ep_lambda_epd_critical,EPD_CRITICAL,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(cc, cf, scc, scm, being_annihilator, LET(   CCm, MIN(1, CC),   normalCrit, (1-CCm) + (CCm*CF*(1-SCC) + CCm*CF*SCC*SCM),    Streak, being_annihilator,   StreakChance, CCm * SCC,   piZero, 1 / (1 + Streak * StreakChance),   pistreak, (",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_crit_chance,EPD_CRIT_CHANCE,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, has_card, card_level, relic, vault, substat, has_mastery, mastery_level, LET(   WS, (1%+(1%*ws_level)),   CardCC, IF(has_card, 4%+ 1% * card_level+IF(has_mastery, 1% * (1+mastery_level), 0), 0),  WS + relic + vault + Substa",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_dpm,EPD_DPM,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, wsp_level, lab_level, substat, relic, vault, has_mastery, mastery_level, LET(   WS, VLOOKUP(ws_level, WSValues!$I:$J, 2, FALSE)/1000,   Lab, 1 + 2% * lab_level,   WSPlus, 1 + 0.01 * wsp_level,   RelicBonus, 1 + relic,   Vau",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_maxrend,EPD_MAXREND,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(has_rend, lab_level, substat, wsp_level, LET(   Lab, lab_level * 25%,   Wsp, 1+(wsp_level * 1%), IF(has_rend, (8 + Substat + Lab) * Wsp, 1)))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_msc,EPD_MSC,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, substat, vault, LET(   WS, ws_level * 0.5%,   VaultBonus, 1 + vault, (WS + Substat) * VaultBonus))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_mst,EPD_MST,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, substat, LET(   WS, 2 + ws_level, WS + FLOOR(Substat)))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_multishot,EPD_MULTISHOT,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(msc, mst, 1 + MSC * (MST-1))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_range,EPD_RANGE,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, has_card, card_level, lab_level, substat, LET(   WS, 30 + 0.5 * ws_level,   CardRNG, IF(has_card, 1.1 + 0.05 * card_level, 1),   Lab, 1 + 2% * lab_level,  FUDDSMATH_RANGE(WS * CardRNG * Lab + Substat)))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_rangedpm,EPD_RANGEDPM,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(range, dpm, kill_at_range, 1 + range * dpm * kill_at_range)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
