module,slot,trigger,evidence_class,source_refs,target,scalar_param,stack_rule,cap_rule,duration_rule,special_rules,assist_notes,runtime_contract,confidence,epic,legendary,mythic,ancestral,ability_text
Astral Deliverance,Cannon,on_bounce_resolve,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,projectile,bounce_damage_per_bounce_pct,per_bounce_additive_bonus,none_documented,instant_per_projectile,Bounce shot range increased by 3% of total tower range.,Assist unique effect uses assist rarity/efficiency rules from Modules page.,"Increase bounce range by flat 3% of total range; for each bounce of a projectile, add listed percent damage.",medium,20.0,40.0,60.0,80.0,Bounce shot range increased by 3% of tower range; each bounce increases projectile damage by 20 / 40 / 60 / 80 (E/L/M/A).
Being Annihilator,Cannon,on_supercrit,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,future_attacks,guaranteed_supercrits_after_supercrit_attacks,refresh_or_replace_counter_not_documented,none_documented,until listed attack count consumed,Next x attacks are guaranteed super crits after a super crit occurs.,Assist unique effect weaker by assist efficiency.,"When a super crit event occurs, create a counter of guaranteed future super crit attacks equal to listed value.",medium,3.0,4.0,5.0,6.0,"On super crit, next attacks guaranteed super crits: 3 / 4 / 5 / 6."
Death Penalty,Cannon,on_enemy_spawn_then_on_first_hit,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,spawned_enemy,mark_for_death_spawn_chance_pct,binary_mark_no_stack,first_hit_only,persists until first hit or enemy death,Marked enemy is destroyed by first hit.,Assist unique effect weaker by assist efficiency.,"At enemy spawn roll listed chance; if marked, first subsequent hit destroys that enemy regardless of ordinary damage pipeline.",high,5.0,8.0,11.0,15.0,Mark-on-spawn chance; first hit destroys: 5% / 8% / 11% / 15%.
Havoc Bringer,Cannon,on_rend_application,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,enemy_rend_state,rend_armor_instant_max_chance_pct,binary_proc_no_stack,none_documented,instant,Proc sends Rend Armor directly to max.,Assist unique effect weaker by assist efficiency.,"Whenever Rend Armor is applied/updated, roll listed chance to set rend state immediately to max instead of normal progression.",medium,10.0,13.0,15.0,20.0,Rend Armor instantly to max chance: 10% / 13% / 15% / 20%.
Shrink Ray,Cannon,on_attack_hit,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,enemy_mass,enemy_mass_reduction_pct,non_stacking,1% proc chance fixed,duration_not_documented,1% fixed chance per attack; effect is explicitly non-stacking.,Assist unique effect weaker by assist efficiency.,Each attack has fixed 1% chance to apply a non-stacking mass reduction equal to listed percent.,high,10.0,20.0,30.0,40.0,1% chance to apply non-stacking mass reduction: 10% / 20% / 30% / 40%.
Amplifying Strike,Cannon,on_boss_or_elite_kill,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,tower_damage_multiplier,tower_damage_5x_duration_s,refreshes_duration_on_new_trigger,fixed_5x_multiplier,listed_seconds,Wiki note: does Impact UW damage; new boss/elite kill refreshes duration.,Assist unique effect weaker by assist efficiency.,Killing a boss or elite grants 5x tower damage for listed seconds; a new valid kill refreshes timer rather than stacking multiplier.,high,5.0,11.0,18.0,26.0,Killing boss/elite → Tower Damage 5x for 5s / 11s / 18s / 26s.
Anti-Cube Portal,Armor,on_shockwave_hit,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,enemy_damage_taken_multiplier,shockwave_damage_taken_mult_x,reapply_or_refresh_not_documented,fixed_7s_duration,7_seconds,Enemies still count as hit even if immune to shockwave effects.,Assist unique effect weaker by assist efficiency.,"When shockwave registers a hit, apply listed damage-taken multiplier to that enemy for 7s even if the enemy is immune to the shockwave movement/effect.",high,10.0,15.0,20.0,25.0,After shockwave hit: enemies take 10x / 15x / 20x / 25x damage for 7s.
Negative Mass Projector,Armor,on_orb_nonkill_hit,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,enemy_damage_and_speed,orb_nonkill_debuff_pct_per_hit,stacking_additive_until_cap,max_50pct_reduction,duration_not_documented,Orb hit still counts for effect logic even if enemy is immune to orb effect; only if orb does not kill.,Assist unique effect weaker by assist efficiency.,"If an orb hits and does not kill, add listed reduction to both enemy damage and speed, stacking additively until total reduction reaches 50%.",high,1.0,1.5,2.0,2.5,Orb hit applies stacking debuff reducing enemy damage & speed by 1.0% / 1.5% / 2.0% / 2.5% per hit (max 50%).
Wormhole Redirector,Armor,while_regen_applies,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,healing_cap,regen_heal_cap_pct_of_package_max_recovery,sets_cap_extension,listed_percent_of_package_max_recovery,persistent_while_equipped,Allows Health Regen to heal into Package Max Recovery up to listed percent.,Assist unique effect weaker by assist efficiency.,Extend regen heal ceiling beyond ordinary max HP up to listed percent of Package Max Recovery.,high,25.0,50.0,75.0,100.0,Health Regen can heal up to 25% / 50% / 75% / 100% of Package Max Recovery.
Space Displacer,Armor,on_landmine_spawn,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,landmine_instance,landmine_spawn_as_ilm_chance_pct,binary_conversion_proc,20_max_inner_land_mines,persistent_while_equipped,"If ILM UW unlocked, uses player ILM stats/effects; otherwise uses level-1 x30 damage multiplier. Chance applies to normal landmine spawns.",Assist unique effect weaker by assist efficiency.,Each landmine spawn rolls listed chance to become an autonomous Inner Land Mine subject to 20 max; damage/stat source depends on whether ILM UW is unlocked.,high,15.0,20.0,25.0,30.0,Landmines spawn as ILM chance: 15% / 20% / 25% / 30% (20 max).
Sharp Fortitude,Armor,while_wall_exists_and_on_wall_thorns_hit,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,wall_stats_and_enemy_wall_thorns_vulnerability,wall_health_regen_mult_x,wall_stats_set_multiplier_plus_per_hit_vulnerability,none_documented,persistent_for_wall_stats; vulnerability stacking_duration_not_documented,Wall health and regen multiplied by listed x; enemies take +1% increased damage from wall thorns per subsequent hit.,Assist unique effect weaker by assist efficiency; wall rebuild minimum cap still applies via module rules.,"Multiply wall HP and wall regen by listed factor, and for repeated wall-thorns hits on same enemy add +1% wall-thorns damage taken per subsequent hit.",medium,1.25,1.5,2.0,2.5,Wall health+regen multiplier: 1.25 / 1.5 / 2.0 / 2.5; plus +1% increased damage from wall thorns per subsequent hit.
