Step,Work item,Status,Verification
1,Ingest upstream calculator v90 baseline,Done,Verified by unzip and inventory
2,Trace `cash_kill_multiplier` formula-contract hydration seam,Done,Verified by code-path inspection in run_stats.py and direct `_formula_contract()` evaluation
3,Identify cause of stale emitted formula contract,Done,"Verified as output-path freshness issue: `run_stats.py` writes to `output/`, while earlier audit inspection used stale `out/` files"
4,Rerun calculator on refreshed baseline,Done,Verified by successful `python run_stats.py` execution
5,Verify `cash_kill_multiplier` formula contract in canonical regenerated output,Done,Verified in `output/statbook_publishable.json` as `generic_validated` / `allow` / `normal`
6,Verify `tower_land_mine_damage` closure against regenerated output,Done,Verified in `output/line_by_line_verification.json` and `output/statbook_publishable.json` as resolved
7,Verify `module.orbital_augment.electron_count` closure against regenerated output,Done,Verified in `output/line_by_line_verification.json` and `output/statbook_publishable.json` as resolved
8,Document canonical output-path rule for this audit rail,Done,Verified by R04 governance note
9,Fresh contributor-led closure on `tower_hp`,Remaining,Not yet verified
10,Reconcile `tower_damage` compare-runtime assumptions with frozen compare policy,Remaining,Not yet verified
11,Re-run harness completion gate on refreshed baseline using regenerated `output/` snapshot,Remaining,Not yet verified
12,Define optimiser interface from trusted calculator outputs,Remaining,Not yet verified
