scope,item_id,item_label,status,evidence_tier,materiality,why_open,allowed_use
tier_battle_condition_value,tanks_ultimate__lvl_20,Tank's Ultimate Lvl 20,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,ray_ultimate__lvl_20,Ray Ultimate Lvl 20,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,scatter_ultimate__lvl_20,Scatter Ultimate Lvl 20,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,tanks_ultimate__lvl_35,Tank's Ultimate Lvl 35,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,vampire_ultimate__lvl_20,Vampire Ultimate Lvl 20,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,fasts_ultimate__lvl_20,Fast's Ultimate Lvl 20,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,ray_ultimate__lvl_35,Ray Ultimate Lvl 35,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,scatter_ultimate__lvl_35,Scatter Ultimate Lvl 35,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,tanks_ultimate__lvl_50,Tank's Ultimate Lvl 50,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,vampire_ultimate__lvl_35,Vampire Ultimate Lvl 35,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,boss_ultimate__lvl_20,Boss Ultimate Lvl 20,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,fasts_ultimate__lvl_35,Fast's Ultimate Lvl 35,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,ray_ultimate__lvl_50,Ray Ultimate Lvl 50,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,scatter_ultimate__lvl_50,Scatter Ultimate Lvl 50,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,tanks_ultimate__lvl_65,Tank's Ultimate Lvl 65,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
tier_battle_condition_value,vampire_ultimate__lvl_50,Vampire Ultimate Lvl 50,explicit_unknown_to_community,community_explicit_unknown_exact_value,medium,Exact normal-tier numeric value is explicitly unknown to the current community corpus and absent from the repo exact tier table for this row.,Treat exact numeric value as intentionally unknown to community. Use tier BC presence and level as closed; do not infer or interpolate an exact runtime magnitude.
