step,work_item,status,verification
1,Ingest upstream calculator v90,done,"Verified by unzip and inventory"
2,Check upstream claimed fixes against bundled/live outputs,done,"Verified by reading TAKEOVER_V90_IMPL_FIXES.md and rerunning python run_stats.py"
3,Check whether upstream preserved audit-rail EP registry copy-forward,done,"Verified regressed to ep_v5.00.01_extract_2026-02-02 in mechanics-library.yaml"
4,Reapply fresher EP registry into refreshed baseline,done,"Verified by copying forward newer mechanics-library.yaml from R02 baseline"
5,Check whether upstream preserved cash_kill_multiplier policy classification,done,"Verified missing from destination_formula_ledger.yaml"
6,Reapply cash_kill_multiplier destination policy entry,done,"Verified by rewriting config/destination_formula_ledger.yaml"
7,Check whether emitted output hydrates cash_kill_multiplier formula contract,done,"Verified still emitted as unclassified in out/line_by_line_verification.json"
8,Decide whether landmine/electron are now closed,done,"Verified not closed from live output snapshot despite upstream notes"
9,Trace stale formula-contract hydration for cash_kill_multiplier,remaining,"Not yet verified"
10,Fresh contributor-led closure on tower_hp,remaining,"Not yet verified"
11,Confirm landmine/electron code paths versus output mismatch,remaining,"Not yet verified"
12,Re-run harness completion gate on refreshed baseline,remaining,"Not yet verified"
13,Define optimiser interface from trusted calculator outputs,remaining,"Not yet verified"
