surface_id,path,domain,status,trust_tier,retrieval_priority,safe_for_first_pass,surface_role,supersedes,deprecated_by,notes
root.start_here,START_HERE_FOR_AI.md,root,canonical,1.0,1.0,yes,ai_entry,,,Primary AI entry surface; current rules only.
root.manifest,manifest.json,root,canonical,1.0,2.0,yes,package_manifest,,,Single release-identity and completeness truth surface.
root.chatgpt_profile,CHATGPT_KB_PROFILE.yaml,root,canonical,1.0,2.0,yes,chatgpt_profile,,,Machine-readable ChatGPT loading and boundary profile.
root.readme,readme.md,root,canonical,1.0,3.0,yes,human_readme,,,Concise package overview for human and AI operators.
root.kb_index,kb/index.md,root,canonical,1.0,4.0,yes,kb_index,,,Primary internal index.
root.retrieval_policy,RETRIEVAL_POLICY.yaml,root,canonical,1.0,5.0,yes,retrieval_governance,,,Machine-readable retrieval constitution.
root.execution_order,SURFACE_EXECUTION_ORDER.yaml,root,canonical,1.0,6.0,yes,execution_order,,,Mandatory cross-surface execution order.
root.unknowns_policy,UNKNOWNS_OPERATING_POLICY.csv,root,canonical,1.0,7.0,yes,unknowns_policy,,,Operational unknown handling rules.
root.task_entrypoints,TASK_ENTRYPOINTS.yaml,root,canonical,1.0,8.0,yes,task_router,,,Task routing surface.
root.priority_registry,SURFACE_PRIORITY_REGISTRY.csv,root,generated_control_plane,1.0,9.0,yes,surface_ranking,,,Generated from master surface trust ledger.
root.status_tags,SURFACE_STATUS_TAGS.csv,root,generated_control_plane,1.0,10.0,yes,surface_status,,,Generated from master surface trust ledger.
root.master_trust_ledger,MASTER_SURFACE_TRUST_LEDGER.csv,root,canonical,1.0,11.0,yes,control_plane_authority,,,Authoritative control-plane path/status/trust ledger.
root.target_standard,KB_TARGET_STANDARD.md,root,canonical,1.0,13.0,yes,target_standard,,,Current target standard and scope limits.
root.verification_status,VERIFICATION_COMPLETENESS_STATUS.md,root,canonical,1.0,14.0,yes,verification_status,,,Current verification counts by trust class.
ledger.core_status,kb/ledgers/notes/core-kb-status.md,ledgers,canonical,1.0,20.0,yes,package_status,,,Current package verdict and trust posture.
ledger.completeness,kb/ledgers/tables/core-kb-completeness.csv,ledgers,resolved_derived,1.0,21.0,yes,closure_status,,,Primary completeness surface.
ledger.domain_completeness,kb/ledgers/tables/domain-completeness-ledger.csv,ledgers,canonical,1.0,22.0,yes,domain_completeness,,,Domain closure ledger.
ledger.formula_coverage,kb/ledgers/tables/formula-coverage-ledger.csv,ledgers,canonical,1.0,23.0,yes,formula_coverage,,,Formula coverage ledger.
ledger.explicit_unknowns,kb/ledgers/tables/scope-boundary-registry.csv,ledgers,scope_boundary_registry,1.0,24.0,yes,scope_boundaries,,,"Simulator-scope boundary registry: out-of-scope timing edges, accepted boundaries, and resolved canonical choices."
ledger.sim_mechanic,kb/ledgers/tables/simulator-mechanic-coverage-ledger.csv,ledgers,canonical,1.0,25.0,yes,simulator_coverage,,,Simulator-mechanic coverage ledger.
ledger.sim_verification,kb/ledgers/tables/simulator-verification-ledger.csv,ledgers,canonical,1.0,26.0,yes,simulator_verification,,,Simulator verification ledger.
ledger.source_conflicts,kb/ledgers/tables/source-conflict-registry.csv,ledgers,conflict_registry,1.0,27.0,yes,source_conflicts,,,Explicit source conflicts that block clean compression.
global.aliases,kb/global-rules/contracts/name-aliases.yaml,global-rules,canonical_contract,2.0,30.0,yes,alias_resolution,,,Canonical alias surface.
global.naming_contract,kb/global-rules/contracts/naming-contract.yaml,global-rules,canonical_contract,2.0,31.0,yes,naming_governance,,,Canonical naming contract.
global.relic_inputs,kb/global-rules/tables/relic-input-registry.csv,global-rules,canonical,2.0,32.0,yes,input_registry,,,Simulator-facing relic input registry.
global.player_inputs,kb/global-rules/tables/player-stuff-input-registry.csv,global-rules,canonical,2.0,33.0,yes,input_registry,,,Simulator-facing player-state input registry.
global.theme_song_inputs,kb/global-rules/tables/theme-song-input-registry.csv,global-rules,canonical,2.0,34.0,yes,input_registry,,,Simulator-facing theme/song input registry.
global.unlock_inputs,kb/global-rules/tables/unlock-input-registry.csv,global-rules,canonical,2.0,35.0,yes,input_registry,,,Simulator-facing unlock input registry.
combat.ordering,kb/combat/contracts/runtime-ordering-canonical.csv,combat,canonical_contract,2.0,40.0,yes,runtime_ordering,,,Primary combat ordering surface.
combat.pipeline,kb/combat/contracts/runtime-damage-pipeline.csv,combat,canonical_contract,2.0,41.0,yes,runtime_pipeline,,,Primary damage pipeline surface.
