section,id,name,type,implementation_status,calculator_evidence,classification_note
eDamage_mechanics,ep_lambda_bullet_per_second,BULLET_PER_SECOND,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_epd_epd_bounceshot,EPD_BOUNCESHOT,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_epd_epd_critical,EPD_CRITICAL,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::tower_crit_multiplier,Clear stat equivalent exists in emitted calculator output.
eDamage_mechanics,ep_lambda_epd_epd_crit_chance,EPD_CRIT_CHANCE,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::tower_crit_chance_pct,Clear stat equivalent exists in emitted calculator output.
eDamage_mechanics,ep_lambda_epd_epd_maxrend,EPD_MAXREND,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::tower_rend_armor_multiplier,Clear stat equivalent exists in emitted calculator output.
eDamage_mechanics,ep_lambda_epd_epd_msc,EPD_MSC,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::tower_multishot_chance_pct,Clear stat equivalent exists in emitted calculator output.
eDamage_mechanics,ep_lambda_epd_epd_mst,EPD_MST,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::tower_multishot_targets,Clear stat equivalent exists in emitted calculator output.
eDamage_mechanics,ep_lambda_epd_epd_multishot,EPD_MULTISHOT,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_epd_epd_rangedpm,EPD_RANGEDPM,excel_named_formula,retained_helper_formula,canonical_stat::tower_range_m + canonical_stat::tower_damage_per_meter_multiplier,Derived helper from range and DPM inputs; useful for optimizer/strategy but not a required standalone canonical output.
eDamage_mechanics,ep_lambda_epd_epd_rapidfire,EPD_RAPIDFIRE,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_epd_epd_uwcritical,EPD_UWCRITICAL,excel_named_formula,retained_helper_formula,related crit inputs present; no standalone uw crit surface,Derived helper for ultimate-weapon crit modeling; useful for damage modeling but not a current standalone canonical output.
