path,status,trust_tier,safe_for_first_pass,surface_role,primary_use
CHATGPT_KB_PROFILE.yaml,canonical,1.0,yes,chatgpt_profile,Machine-readable ChatGPT loading and boundary profile.
KB_TARGET_STANDARD.md,canonical,1.0,yes,target_standard,Current target standard and scope limits.
MASTER_SURFACE_TRUST_LEDGER.csv,canonical,1.0,yes,control_plane_authority,Authoritative control-plane path/status/trust ledger.
RETRIEVAL_POLICY.yaml,canonical,1.0,yes,retrieval_governance,Machine-readable retrieval constitution.
START_HERE_FOR_AI.md,canonical,1.0,yes,ai_entry,Primary AI entry surface; current rules only.
SURFACE_EXECUTION_ORDER.yaml,canonical,1.0,yes,execution_order,Mandatory cross-surface execution order.
SURFACE_PRIORITY_REGISTRY.csv,generated_control_plane,1.0,yes,surface_ranking,Generated from master surface trust ledger.
SURFACE_STATUS_TAGS.csv,generated_control_plane,1.0,yes,surface_status,Generated from master surface trust ledger.
TASK_ENTRYPOINTS.yaml,canonical,1.0,yes,task_router,Task routing surface.
UNKNOWNS_OPERATING_POLICY.csv,canonical,1.0,yes,unknowns_policy,Operational unknown handling rules.
VERIFICATION_COMPLETENESS_STATUS.md,canonical,1.0,yes,verification_status,Current verification counts by trust class.
kb/bots/contracts/bot-runtime-contract.md,canonical_contract,2.0,yes,runtime_contract,Bot runtime contract.
kb/bots/contracts/bot-runtime-proof-matrix.csv,canonical_contract,2.0,yes,runtime_proof,Bot runtime proof matrix.
kb/combat/contracts/runtime-damage-pipeline.csv,canonical_contract,2.0,yes,runtime_pipeline,Primary damage pipeline surface.
kb/combat/contracts/runtime-ordering-canonical.csv,canonical_contract,2.0,yes,runtime_ordering,Primary combat ordering surface.
kb/global-rules/contracts/name-aliases.yaml,canonical_contract,2.0,yes,alias_resolution,Canonical alias surface.
kb/global-rules/contracts/naming-contract.yaml,canonical_contract,2.0,yes,naming_governance,Canonical naming contract.
kb/global-rules/tables/player-stuff-input-registry.csv,canonical,2.0,yes,input_registry,Simulator-facing player-state input registry.
kb/global-rules/tables/relic-input-registry.csv,canonical,2.0,yes,input_registry,Simulator-facing relic input registry.
kb/global-rules/tables/theme-song-input-registry.csv,canonical,2.0,yes,input_registry,Simulator-facing theme/song input registry.
kb/global-rules/tables/unlock-input-registry.csv,canonical,2.0,yes,input_registry,Simulator-facing unlock input registry.
kb/index.md,canonical,1.0,yes,kb_index,Primary internal index.
kb/labs/tables/lab-application-registry.csv,canonical,2.0,yes,application_registry,Lab target-routing registry.
kb/labs/tables/lab-simulator-boundary-registry.csv,resolved_boundary_registry,2.0,yes,lab_boundary_registry,Resolved or accepted lab-scope boundaries for simulator use.
kb/labs/tables/lab-source-registry.csv,canonical,2.0,yes,source_registry,Lab source registry.
kb/labs/tables/lab-track-summary.csv,canonical,2.0,yes,summary_registry,Lab ladder summary surface.
kb/ledgers/notes/core-kb-status.md,canonical,1.0,yes,package_status,Current package verdict and trust posture.
kb/ledgers/tables/core-kb-completeness.csv,resolved_derived,1.0,yes,closure_status,Primary completeness surface.
kb/ledgers/tables/domain-completeness-ledger.csv,canonical,1.0,yes,domain_completeness,Domain closure ledger.
kb/ledgers/tables/formula-coverage-ledger.csv,canonical,1.0,yes,formula_coverage,Formula coverage ledger.
kb/ledgers/tables/scope-boundary-registry.csv,scope_boundary_registry,1.0,yes,scope_boundaries,"Simulator-scope boundary registry: out-of-scope timing edges, accepted boundaries, and resolved canonical choices."
kb/ledgers/tables/simulator-mechanic-coverage-ledger.csv,canonical,1.0,yes,simulator_coverage,Simulator-mechanic coverage ledger.
kb/ledgers/tables/simulator-verification-ledger.csv,canonical,1.0,yes,simulator_verification,Simulator verification ledger.
kb/ledgers/tables/source-conflict-registry.csv,conflict_registry,1.0,yes,source_conflicts,Explicit source conflicts that block clean compression.
kb/tournaments/tables/battle-condition-curves-canonical.csv,resolved_derived,1.0,yes,battle_condition_curves,Canonical BC curve surface.
kb/tournaments/tables/tier-battle-condition-accepted-unknown-boundary.csv,accepted_unknown_boundary,1.0,yes,tier_bc_unknown_boundaries,Tier BC rows intentionally accepted as unknown-to-community boundaries.
kb/tournaments/tables/tier-battle-condition-resolved-values.csv,resolved_derived,1.0,yes,resolved_tier_bc_values,Exact resolved tier BC values where supported.
kb/ultimate-weapons/contracts/uw-runtime-proof-matrix.csv,canonical_contract,2.0,yes,runtime_proof,UW runtime proof matrix.
kb/workshop/derived/materialized/enhancements-values.csv,derived_non_primary,3.0,no,aggregate_view,Derived aggregate enhancement materialized view; not first-pass canon.
kb/workshop/derived/materialized/workshop-values.csv,derived_non_primary,3.0,no,aggregate_view,Derived aggregate workshop materialized view; not first-pass canon.
manifest.json,canonical,1.0,yes,package_manifest,"Package identity, release locator, and entry-surface metadata."
readme.md,canonical,1.0,yes,human_readme,Concise package overview for human and AI operators.
KNOWLEDGE_ROLE_SCHEMA.yaml,active,high,yes,control_plane_schema,Knowledge-role schema for ChatGPT routing
KNOWLEDGE_ROLE_REGISTRY.csv,active,high,yes,control_plane_registry,Knowledge-role registry for ChatGPT routing
